id,name,botname,familie,standort,boden,farbe,bluetezeit,wuchshoehe,abstand,pflege,schaedlinge,vermehrung,winterhaerte,bienenfreund,giftigkeit,roteliste;;
"0,Acker-Hellerkraut,Thlapsi arvense,Kreuzblütler (Brassicaceae),""Sonne, Halbschatten"",""Humusreich-lehmig, stickstoffreich"",Weiß,Mai-Juli,10-40 cm,25 cm,Keine,Raupen,(Selbst-)Aussaat,Nein,Nein,Nein,Nicht gefährdet";;
"1,Akelei,Aquilegia vulgaris,Hahnenfußgewächse (Ranunculaceae),""Sonne, Halbschatten"",""Durchlässig, nährstoffreich, feucht"",""Blau, rosa"",April-Juni,60 cm,20-30 cm,Blütenstand abschneiden und düngen,""Akelei-Blattwespe, Blattläuse, Echter Mehltau"",(Selbst-)Aussaat,Ja,Ja,Ja,Nicht gefährdet";;
"2,Anemone,Anemone,Hahnenfußgewächse (Ranunculaceae),""Sonne, Halbschatten"",""Durchlässig, locker, leicht sauer"",Sortenabhängig,Sortenabhängig,30-40 cm,40-80 cm,Verblühtes abschneiden,""Blattläuse, Schnecken, Nematoden, Mehltau"",""Teilung, Aussaat"",Bedingt,Ja,Ja,Nicht heimisch";;
"3,Apfel,Malus domesticus,Rosengewächse (Rosaceae),Sonne,""Nährstoffreich, tiefgründig"",Weiß-rosa,April-Mai,400-1000 cm,500-1000 cm,""Hornspäne im März, Kompost zweimal im Jahr, Fruchtbehang ausdünnen, Erziehungsschnitt"",""Apfelwickler, Apfelgespinstmotte, Mehltau, Apfelschorf"",Veredelung,Ja,Ja,Nein,Nicht heimisch";;
"4,Asiasalat,Brassica spec.,Kreuzblütler (Brassicaceae),""Sonne, Halbschatten"",""Humusreich, lehmig-sandig"",Gelb,Je nach Aussaat,10-25 cm,15-25 cm,Keine,""Kohlweißling, Kohlfliege, Erdflöhe, Schnecken"",Aussaat,Bedingt,Ja,""Nein, ungenießbar nach Blüte"",Nicht heimisch";;
"5,Aster,Aster,Korbblütler (Asteraceae),""Sonne, Halbschatten"",""Mäßig nährstoffreich, locker, kalkhaltig"",Sortenabhängig,Sortenabhängig,20-100 cm,25 cm,""Rückschnitt im März, Teilung alle paar Jahre"",""Asternwelke, Mehltau, Schnecken"",""Aussaat, Teilung"",Stauden oder Einjährige,Ungefüllte Sorten,Nein,""Vom Aussterben bedroht: A. amellus, A. linosyris""";;
"6,Astilbe,Astilbe,Steinbrechgewächse (Saxifragaceae),""Halbschatten, Schatten"",""Humusreich, feucht, nährstoffreich"",Sortenabhängig,Juni-September,50 cm,20-40 cm,""Regelmäßig Kompost, Blütenstängel im März entfernen"",""Blattläuse, Dickmaulrüssler, Nematoden, Mehltau"",Teilung,Ja,Ja,Nein,Nicht heimisch";;
"7,Aubergine,Solanum,Nachtschattengewächse (Solanaceae),Sonne,""Humusreich, locker, nährstoffreich"",Violett,Frühsommer,60-120 cm,60 cm,""Regelmäßig düngen (gering konzentriert), viel gießen"",""Blattläuse, Weiße Fliege, Grauschimmel"",Aussaat,Nein,Ja,Ja,Nicht heimisch";;
"8,Azalee,Rhododendrum luteum,Heidekrautgewächse (Ericaceae),""Sonne, Halbschatten"",""Nährstoffreich, humusreich, sauer, feucht"",Sortenabhängig,März-Mai,40-200 cm,25 cm,""Hornspäne im Mai, regelmäßig gießen, mulchen im Winter"",""Dickmaulrüssler, Spinnmilben, Mehltau"",Stecklingsvermehrung,Ja,Ja,Ja,Nicht heimisch";;
